failure_penalty,rank,record_id,material_id,failure_label,true_success,predicted_value,uncertainty,failure_risk,failure_aware_score
0.5,7,413,bulk_ni,success,1,0.0,0.0,0.007781763935711283,0.0038908819678556417
0.5,8,780,h_on_pt111,success,1,0.0,0.0,0.011938990888375578,0.005969495444187789
0.5,9,891,o_on_cu111,success,1,0.0,0.0,0.012857294100372618,0.006428647050186309
0.5,10,226,bulk_fe,success,1,0.0,0.0,0.015349589600083813,0.007674794800041906
0.5,11,543,co_on_cu111,success,1,0.0,0.0,0.01596122788067289,0.007980613940336445
0.5,12,552,co_on_cu111,success,1,0.0,0.0,0.01596122788067289,0.007980613940336445
0.5,13,223,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.009152917561460194
0.5,14,203,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.009152917561460194
0.5,15,201,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.009152917561460194
0.5,16,207,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.009152917561460194
0.5,17,202,bulk_fe,success,1,0.0,0.0,0.01830583512292039,0.009152917561460194
0.5,18,739,h2o_generated,success,1,0.0,0.0,0.025920090212289915,0.012960045106144957
0.5,19,370,bulk_nacoo2,success,1,0.0,0.0,0.03962372494413746,0.01981186247206873
0.5,20,539,co,success,1,0.0,0.0,0.042681361674308915,0.021340680837154458
0.5,21,871,n2,success,1,0.0,0.0,0.04331880958424161,0.021659404792120807
0.5,22,455,bulk_si_generated,success,1,0.0,0.0,0.051527093262967005,0.025763546631483503
0.5,23,450,bulk_si_generated,success,1,0.0,0.0,0.051527093262967005,0.025763546631483503
0.5,24,454,bulk_si_generated,success,1,0.0,0.0,0.051527093262967005,0.025763546631483503
0.5,25,708,graphene_generated,success,1,0.0,0.0,0.0780809524861309,0.03904047624306545
0.5,26,735,h2o,success,1,0.0,0.0,0.113800607994329,0.0569003039971645
0.5,27,235,bulk_ge,success,1,0.0,0.0,0.15964661901142174,0.07982330950571087
0.5,28,895,o_on_ni111,success,1,0.0,0.0,0.25531463479255956,0.12765731739627978
0.5,29,963,o_on_ni111,scf_not_converged,0,0.0,0.0,0.25531463479255956,0.12765731739627978
0.5,30,958,o_on_ni111,success,1,0.0,0.0,0.25531463479255956,0.12765731739627978
0.5,31,776,h_on_pt111,success,1,0.0,0.0,0.2585982011743957,0.12929910058719785
0.5,32,749,h_on_cu111,success,1,0.0,0.0,0.2657347490963564,0.1328673745481782
0.5,33,754,h_on_cu111,success,1,0.0,0.0,0.2657347490963564,0.1328673745481782
0.5,34,715,h2_generated,success,1,0.0,0.0,0.3522690718267244,0.1761345359133622
0.5,35,716,h2_generated,success,1,0.0,0.0,0.3522690718267244,0.1761345359133622
0.5,36,719,h2_generated,success,1,0.0,0.0,0.3522690718267244,0.1761345359133622
0.5,37,510,ch4,job_not_completed,0,0.0,0.0,0.7224495967403417,0.36122479837017085
0.5,38,509,ch4,job_not_completed,0,0.0,0.0,0.7224495967403417,0.36122479837017085
0.5,39,402,bulk_nacoo2,scf_not_converged,0,0.0,0.0,0.833177939910468,0.416588969955234
0.5,40,377,bulk_nacoo2,scf_not_converged,0,0.0,0.0,0.833177939910468,0.416588969955234
0.5,41,24,h2_r1p984848,job_not_completed,0,0.0,0.0,0.8977261580587594,0.4488630790293797
0.5,42,52,h2_r2p000000,job_not_completed,0,0.0,0.0,0.899132182884137,0.4495660914420685
